data,Iphone X,Iphone 8 Plus,Iphone 7,Iphone 7 Plus,Galaxy S8,Galaxy S8 Plus,Galaxy S9,Galaxy S9 Plus,Dolar
2018-09-21,5999.0,4277.07,2641.035,3449.0,2699.0,3599.0,3783.0,4099.0,4.0477
2018-09-24,6035.85,4496.35,2701.95,3691.605,2699.0,3649.0,3540.96,3999.0,4.088
2018-09-25,5949.15,4323.06,2689.0,3600.0,2699.0,3649.0,3599.0,4049.45,4.083
2018-09-26,6159.12,4369.05,2798.99,3783.12,2699.0,3699.0,3593.96,3989.05,4.0262
2018-09-27,6159.12,4547.675,2701.95,3783.21,2699.9,3649.0,3885.8,3999.9,3.9943
2018-09-28,6188.635,4496.35,2798.0,4203.04,2699.9,3649.0,3614.63,3999.45,4.0371
2018-10-01,6159.12,4599.0,2659.05,4203.04,2699.9,3599.0,3614.63,3999.0,4.0183
2018-10-02,6159.12,4139.1,2879.99,3899.0,2747.61,3509.1,3606.815,3929.0,3.9349
2018-10-03,6159.165,4559.05,2879.545,3869.1,2699.0,3599.0,3614.63,4047.12,3.8876
2018-10-04,6159.12,4579.025,2849.0,3740.56,2699.0,3509.1,3588.715,3999.0,3.896
2018-10-05,6002.23,4559.05,2849.99,3799.0,2798.1,3509.1,3562.8,3859.0,3.857
2018-10-08,6159.12,4496.35,2999.0,3945.78,3227.96,3449.0,3530.9,3976.18,3.7662
2018-10-09,5899.99,4221.13,2843.27,3820.95,2991.12,3449.0,3562.8,3999.0,3.7107
2018-10-10,5899.99,4473.735,2835.13,3820.95,2895.555,3599.0,3562.8,3999.0,3.7635
2018-10-11,5899.99,4221.13,2863.2,3820.95,3122.21,3599.0,3593.96,3999.0,3.7788
2018-10-15,6054.135,4310.56,2936.16,3945.78,3234.2,3799.0,3394.0,3999.0,3.7342
2018-10-16,5860.2,4221.13,2899.0,3799.0,3177.11,3799.0,3399.0,3999.0,3.7203
2018-10-17,5949.15,4087.59,2889.99,3887.78,3129.0,3799.0,3499.0,3999.0,3.6822
2018-10-18,5974.18,4169.545,2871.42,3916.78,3175.35,3799.0,3399.9,3999.0,3.725
2018-10-19,6159.12,4123.555,2853.995,3945.78,3122.585,3799.0,3499.32,3899.23,3.7147
2018-10-22,6159.12,4187.755,2769.0,3799.0,3221.7,3655.18,3593.96,4247.05,3.6872
2018-10-23,5683.94,4199.99,2849.99,3820.95,3221.7,3655.18,3350.205,3999.0,3.697
2018-10-24,6079.165,4221.13,2843.27,3799.0,3059.1,3799.0,3524.0,3878.0,3.7463
2018-10-25,5999.105,4221.13,2839.99,3698.0,3191.77,3799.0,3549.0,3799.0,3.7033
2018-10-26,5999.0,4221.13,2850.49,3609.05,3059.1,3799.0,3498.0,3799.0,3.6546
2018-10-29,6159.12,4221.13,2839.99,3698.0,2849.495,3799.0,3419.05,3799.0,3.7053
2018-10-30,6299.0,4249.1,2846.63,3698.0,2798.685,3799.0,3419.05,3829.0,3.6906
2018-10-31,5899.0,4249.1,2849.99,3698.0,2799.99,3655.18,3549.0,3759.035,3.7227
2018-11-01,6079.555,4221.13,2849.99,3698.0,2943.59,3655.18,3599.0,3749.0,3.6943
2018-11-05,6079.555,4558.1,2849.99,3799.0,3059.1,3655.18,3599.0,4074.0,3.7273
2018-11-06,6079.555,4221.13,2759.0,3579.05,3049.0,3655.18,3498.0,4234.9,3.7583
